티커,종목명,시장,RS,clenow,fip,신규,시총,r3,r6,r9,r12,close,거래대금20
412350,레이저쎌,KOSDAQ,89,-0.5200763551678219,-0.14444444444444443,False,71554910700,-17.369308600337263,-5.769230769230771,139.02439024390242,71.86951946685373,4900,1010893282.0
417310,코람코더원리츠,KOSPI,89,0.3236834744088781,-0.011111111111111127,False,95950000000,11.033193080878911,20.61960385982733,41.706443914081134,85.546875,2375,1787201948.95
051160,지어소프트,KOSDAQ,89,0.8697008948300483,0.0222222222222222,False,155363277200,36.97135061391541,29.88357050452781,44.04591104734577,20.095693779904302,10040,1002135967.0
307180,아이엘,KOSDAQ,89,-0.2946580113288239,-0.1555555555555555,False,201559590960,-18.385650224215244,7.058823529411762,80.19801980198021,113.69863013698631,5460,2109737970.0
036540,SFA반도체,KOSDAQ,89,-0.351629264315009,-0.1333333333333333,False,1157800533120,-3.0303030303030276,1.2949640287769792,70.04830917874396,98.03094233473982,7040,15744259120.5
096770,SK이노베이션,KOSPI,89,0.0144677596929218,-0.1777777777777778,False,24478843702400,36.47502356267671,28.5968028419183,27.129060579455654,34.198331788693224,144800,169801618865.0
189860,서전기전,KOSDAQ,89,-0.3620262259788783,-0.16666666666666663,False,50627631600,7.5180226570545905,17.040358744394624,66.24203821656052,64.15094339622642,5220,3459321861.5
017890,한국알콜,KOSDAQ,89,0.3228575988814605,-0.011111111111111127,False,303693803140,22.7234753550543,29.655781112091795,31.39534883720929,55.9447983014862,14690,734813654.5
010580,에스엠벡셀,KOSPI,89,-0.1663751988796281,-0.14444444444444438,False,284804505600,23.97094430992737,24.574209245742097,26.41975308641975,63.3694958519464,2560,5773835302.0
047770,코데즈컴바인,KOSDAQ,89,-0.006275993625499575,-0.16666666666666663,False,141909757500,35.86956521739131,-28.023032629558543,25.4180602006689,91.13149847094802,3750,17185782186.5
055550,신한지주,KOSPI,89,0.3311388492356514,-0.0222222222222222,False,53000931983100,13.353413654618485,24.339207048458157,45.30244530244529,62.91486291486292,112900,120212791605.0
086790,하나금융지주,KOSPI,88,0.2159519913628846,0.03333333333333327,False,37807875674400,13.88429752066116,26.53810835629018,48.65156418554477,55.35512965050733,137800,100277712015.0
084370,유진테크,KOSDAQ,88,-0.017376566057644833,0.011111111111111127,False,3013459523000,-32.942376338602756,8.230452674897126,75.33333333333334,140.40219378427787,131500,19815989670.0
413630,씨피시스템,KOSDAQ,88,0.24999129861835165,-0.1333333333333333,False,154491205200,60.30245746691871,6.666666666666665,-9.207708779443259,38.78887070376431,4240,10443383044.5
